gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
CIRH1A	NM_032830	220.00	220.00	247.00	433.00	419.00	448.00	1202.00	1126.00	1243.00	969.00	1079.00	1209.00
CISD1	NM_018464	38.00	43.00	47.00	80.00	83.00	77.00	223.00	250.00	187.00	210.00	170.00	207.00
CISD2	NM_001008388	48.00	67.00	64.00	81.00	74.00	62.00	370.00	339.00	346.00	408.00	349.00	342.00
CISD3	NM_001136498	18.00	26.00	16.00	24.00	34.00	35.00	115.00	159.00	124.00	108.00	128.00	132.00
CISH	NM_013324,NM_145071	31.00	20.00	32.00	24.00	30.00	30.00	44.00	43.00	39.00	35.00	30.00	27.00
CISTR	NR_104332,NR_104333	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
CIT	NM_001206999,NM_007174	138.00	129.00	129.00	247.00	248.00	240.00	2158.00	2290.00	1957.00	1984.00	2074.00	2119.00
CITED1	NM_001144885,NM_001144886,NM_001144887,NM_004143	2.00	6.00	4.00	2.00	1.00	0.00	51.00	38.00	42.00	9.00	9.00	8.00
CITED2	NM_001168388,NM_001168389,NM_006079	452.00	499.00	419.00	303.00	313.00	352.00	3169.00	3786.00	3266.00	2984.00	2956.00	3300.00
CITED4	NM_133467	83.00	92.00	66.00	68.00	68.00	95.00	369.00	408.00	339.00	214.00	292.00	325.00
CIZ1	NM_001131015,NM_001131016,NM_001131017,NM_001131018,NM_001257975,NM_001257976,NM_012127	309.00	298.00	284.00	199.00	176.00	213.00	1681.00	2077.00	1677.00	1576.00	1803.00	1909.00
CKAP2	NM_001098525,NM_001286686,NM_001286687,NM_018204	249.00	248.00	231.00	394.00	398.00	311.00	2044.00	1728.00	1598.00	1946.00	1756.00	1617.00
CKAP2L	NM_001304361,NM_152515,NR_130712	66.00	68.00	65.00	120.00	121.00	98.00	715.00	548.00	536.00	587.00	586.00	555.00
CKAP4	NM_006825	654.00	667.00	705.00	215.00	177.00	207.00	1978.00	2151.00	1865.00	1940.00	1944.00	2002.00
CKAP5	NM_001008938,NM_014756	674.00	663.00	767.00	1354.00	1488.00	1371.00	6808.00	6549.00	5729.00	7136.00	6973.00	6888.00
CKB	NM_001823	292.00	299.00	280.00	692.00	735.00	904.00	5476.00	6966.00	5776.00	6089.00	6473.00	7587.00
CKLF	NM_001040138,NM_016326,NM_016951,NM_181640,NM_181641	19.00	13.00	9.00	29.51	16.00	15.00	100.00	104.00	100.00	83.00	71.43	88.00
CKLF-CMTM1	NM_001202509,NM_001204098,NM_001204099	0.00	0.00	0.00	3.28	0.00	0.00	0.00	0.00	0.00	0.00	1.75	0.00
CKM	NM_001824	3.00	3.00	2.00	1.00	1.00	3.00	4.00	3.00	6.00	1.00	0.00	2.00
