name,group
TRIM62,Non bivalent
PHC2,Non bivalent
SMIM12,Non bivalent
DLGAP3,Always_up
ZMYM6NB,Non bivalent
ZMYM6,Non bivalent
SFPQ,Non bivalent
KIAA0319L,Non bivalent
PSMB2,Non bivalent
C1orf216,Non bivalent
CLSPN,Non bivalent
COL8A2,Always_up
TRAPPC3,Non bivalent
EVA1B,Non bivalent
STK40,Non bivalent
LSM10,Non bivalent
OSCP1,Non bivalent
MRPS15,Non bivalent
CSF3R,Ni_higher_than_Pr
GRIK3,Always_up
LINC01137,Non bivalent
MEAF6,Non bivalent
SNIP1,Non bivalent
GNL2,Non bivalent
RSPO1,Always_up
C1orf109,Non bivalent
YRDC,Non bivalent
MTF1,Non bivalent
INPP5B,Non bivalent
SF3A3,Non bivalent
FHL3,Non bivalent
POU3F1,Ni_higher_than_Pr
RRAGC,Non bivalent
MYCBP,Non bivalent
GJA9-MYCBP,Non bivalent
PPIEL,Non bivalent
PABPC4,Non bivalent
HEYL,Always_up
HPCAL4,Always_up
OXCT2,Always_up
BMP8B,Always_up
TRIT1,Non bivalent
MYCL,Non bivalent
PPT1,Non bivalent
COL9A2,Always_up
RIMS3,Non bivalent
NFYC-AS1,Non bivalent
CITED4,Non bivalent
SCMH1,Non bivalent
HIVEP3,Always_up
FOXJ3,Non bivalent
CLDN19,Non bivalent
P3H1,Non bivalent
SVBP,Non bivalent
SLC2A1,Non bivalent
EBNA1BP2,Always_up
C1orf210,Non bivalent
ELOVL1,Non bivalent
MED8,Non bivalent
HYI,Non bivalent
SLC6A9,Non bivalent
ERI3,Non bivalent
TMEM53,Non bivalent
PTCH2,Non bivalent
EIF2B3,Non bivalent
HECTD3,Non bivalent
ZSWIM5,Pr_higher_than_Ni
MUTYH,Non bivalent
TESK2,Non bivalent
CCDC163P,Non bivalent
PRDX1,Non bivalent
CCDC17,Non bivalent
GPBP1L1,Non bivalent
IPP,Non bivalent
PIK3R3,Non bivalent
POMGNT1,Non bivalent
LRRC41,Non bivalent
MKNK1,Non bivalent
MOB3C,Always_up
ATPAF1,Non bivalent
EFCAB14,Non bivalent
TAL1,Always_up
STIL,Non bivalent
FOXD2-AS1,Always_up
TRABD2B,Always_up
SPATA6,Non bivalent
BEND5,Ni_higher_than_Pr
AGBL4,Always_up
FAF1,Non bivalent
