gene_id	transcript_id(s)	H9_naive_EZH2i_R1	H9_naive_none_R1
SLC8A1	NM_001112800,NM_001112801,NM_001112802,NM_001252624,NM_021097	2.00	1.00
SLC8A1-AS1	NR_038441	0.00	0.00
SLC8A2	NM_015063	13.00	42.00
SLC8A3	NM_001130417,NM_033262,NM_058240,NM_182932,NM_182936,NM_183002,NR_104122	0.00	0.00
SLC8B1	NM_024959	152.00	458.00
SLC9A1	NM_003047,NR_046474	464.00	833.00
SLC9A2	NM_003048	1.00	0.00
SLC9A3	NM_001284351,NM_004174	40.00	51.00
SLC9A3R1	NM_004252	925.00	386.00
SLC9A3R2	NM_001130012,NM_001252073,NM_001252075,NM_001252076,NM_004785	28.00	232.00
SLC9A4	NM_001011552	0.00	0.00
SLC9A5	NM_004594	2.00	1.00
SLC9A6	NM_001042537,NM_001177651,NM_006359	63.00	42.00
SLC9A7	NM_001257291,NM_032591	5.00	7.00
